"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m"
"60","CBB",1052.14472430115,990.173294165258,1114.11615443705,0.120388057513028,"chemoautotrophy","3500","150"
"61","DC/4HB",0,0,0,0,"chemoautotrophy","3500","150"
"62","WL",0,0,0,0,"chemoautotrophy","3500","150"
"63","rTCA",6.57321767545746,0,32.8660883772873,0.000752117925681982,"chemoautotrophy","3500","150"
"64","single copy",8739.61044007455,6562.1293251759,11151.0664501411,1,"single copy","3500","150"
"65","3HP Bicycle",364.433562031657,0,1052.42491359682,0.0416681103140272,"chemoautotrophy","3500","2000"
"66","3HP/4HB",0,0,0,0,"chemoautotrophy","3500","2000"
"67","3HP/4HB or DC/4HB",255.437843476452,0,766.313530429356,0.0292059056828291,"chemoautotrophy","3500","2000"
"68","CBB",601.438732169119,53.1780777021779,1149.69938663606,0.0687664859938849,"chemoautotrophy","3500","2000"
"69","DC/4HB",0,0,0,0,"chemoautotrophy","3500","2000"
"70","WL",0,0,0,0,"chemoautotrophy","3500","2000"
"71","rTCA",1.47105943152455,0,7.35529715762274,0.000168195998001771,"chemoautotrophy","3500","2000"
"72","single copy",8746.10245785429,6735.151203656,10658.4570437887,1,"single copy","3500","2000"
"73","3HP Bicycle",483.789892366221,0,1579.13891125641,0.0475512524836751,"chemoautotrophy","3500","3000"
"74","3HP/4HB",0,0,0,0,"chemoautotrophy","3500","3000"
"75","3HP/4HB or DC/4HB",265.250646011381,0,795.751938034144,0.026071235962072,"chemoautotrophy","3500","3000"
"76","CBB",693.170042779214,365.466401937778,1020.87368362065,0.0681310300988333,"chemoautotrophy","3500","3000"
"77","DC/4HB",0,0,0,0,"chemoautotrophy","3500","3000"
"78","WL",0,0,0,0,"chemoautotrophy","3500","3000"
"79","rTCA",3.24108527131782,0,16.2054263565891,0.00031856321615932,"chemoautotrophy","3500","3000"
"80","single copy",10174.0725448254,8603.33069429778,11877.2019763631,1,"single copy","3500","3000"
"81","3HP Bicycle",388.791457899637,0,1788.02568694633,0.0564112403998491,"chemoautotrophy","3500","500"
"82","3HP/4HB",0,0,0,0,"chemoautotrophy","3500","500"
"83","3HP/4HB or DC/4HB",220.335825934882,0,661.007477804645,0.0319693681354502,"chemoautotrophy","3500","500"
"84","CBB",953.462017878832,791.813491402405,1115.11054435526,0.138341452750159,"chemoautotrophy","3500","500"
"85","DC/4HB",0,0,0,0,"chemoautotrophy","3500","500"
"86","WL",0,0,0,0,"chemoautotrophy","3500","500"
"87","rTCA",0,0,0,0,"chemoautotrophy","3500","500"
"88","single copy",6892.09198634599,5207.78175630345,8760.55096328033,1,"single copy","3500","500"
"89","3HP Bicycle",323.82410703194,0,1328.45550247121,0.0357030024377462,"chemoautotrophy","3500","50"
"90","3HP/4HB",0,0,0,0,"chemoautotrophy","3500","50"
"91","3HP/4HB or DC/4HB",279.329808269325,0,837.989424807976,0.0307973143722473,"chemoautotrophy","3500","50"
"92","CBB",943.369675912577,931.090278206172,955.649073618982,0.104010569650025,"chemoautotrophy","3500","50"
"93","DC/4HB",0,0,0,0,"chemoautotrophy","3500","50"
"94","WL",0,0,0,0,"chemoautotrophy","3500","50"
"95","rTCA",0,0,0,0,"chemoautotrophy","3500","50"
"96","single copy",9069.9404789997,8184.21426156074,9673.24193830173,1,"single copy","3500","50"
"97","3HP Bicycle",431.122740837933,0,1574.2028477014,0.053849248802812,"chemoautotrophy","4000","1000"
"98","3HP/4HB",0,0,0,0,"chemoautotrophy","4000","1000"
"99","3HP/4HB or DC/4HB",71.9928984794663,0,215.978695438399,0.00899225008340191,"chemoautotrophy","4000","1000"
"100","CBB",978.299326605377,691.151445794534,1265.44720741622,0.122194166189438,"chemoautotrophy","4000","1000"
"101","DC/4HB",0,0,0,0,"chemoautotrophy","4000","1000"
"102","WL",0,0,0,0,"chemoautotrophy","4000","1000"
"103","rTCA",1.43595800524934,0,7.17979002624672,0.000179357877862744,"chemoautotrophy","4000","1000"
"104","single copy",8006.10501395555,6459.22334485137,9845.37958110792,1,"single copy","4000","1000"
"105","3HP Bicycle",245.83927490835,0,988.962726721958,0.0522828976309783,"chemoautotrophy","4000","150"
"106","3HP/4HB",0,0,0,0,"chemoautotrophy","4000","150"
"107","3HP/4HB or DC/4HB",164.566988860235,0,493.700966580704,0.0349986349220465,"chemoautotrophy","4000","150"
"108","CBB",586.036246802845,475.165119939801,696.907373665888,0.12463294610293,"chemoautotrophy","4000","150"
"109","DC/4HB",0,0,0,0,"chemoautotrophy","4000","150"
"110","WL",0,0,0,0,"chemoautotrophy","4000","150"
"111","rTCA",4.0179094755234,0,20.089547377617,0.000854493041755193,"chemoautotrophy","4000","150"
"112","single copy",4702.09735970502,3289.41221926499,5852.96993220649,1,"single copy","4000","150"
"113","3HP Bicycle",481.681541281636,0,1708.80803829895,0.064935327108189,"chemoautotrophy","4000","2000"
"114","3HP/4HB",0,0,0,0,"chemoautotrophy","4000","2000"
"115","3HP/4HB or DC/4HB",242.069536922546,0,726.208610767639,0.0326333131246204,"chemoautotrophy","4000","2000"
"116","CBB",576.531066042184,50.5822838446685,1102.4798482397,0.0777219597451687,"chemoautotrophy","4000","2000"
"117","DC/4HB",0,0,0,0,"chemoautotrophy","4000","2000"
"118","WL",0,0,0,0,"chemoautotrophy","4000","2000"
"119","rTCA",1.68415783274441,0,8.42078916372203,0.000227040752859437,"chemoautotrophy","4000","2000"
"120","single copy",7417.86578635547,5860.89239416108,9371.81963687284,1,"single copy","4000","2000"
"121","3HP Bicycle",211.106234927373,0,760.350932458649,0.0298073818740521,"chemoautotrophy","4000","3000"
"122","3HP/4HB",0,0,0,0,"chemoautotrophy","4000","3000"
"123","3HP/4HB or DC/4HB",192.080981811519,0,576.242945434557,0.0271210898984983,"chemoautotrophy","4000","3000"
"124","CBB",447.508290614272,244.229479606188,650.787101622357,0.0631864355628005,"chemoautotrophy","4000","3000"
"125","DC/4HB",0,0,0,0,"chemoautotrophy","4000","3000"
"126","WL",0,0,0,0,"chemoautotrophy","4000","3000"
"127","rTCA",2.82603336346454,0,14.1301668173227,0.000399024953870165,"chemoautotrophy","4000","3000"
"128","single copy",7082.34744733302,5382.61289176809,8622.0187528757,1,"single copy","4000","3000"
"129","3HP Bicycle",209.37020292427,0,928.040913207888,0.0492379327555943,"chemoautotrophy","4000","500"
"130","3HP/4HB",0,0,0,0,"chemoautotrophy","4000","500"
"131","3HP/4HB or DC/4HB",91.981829948359,0,275.945489845077,0.0216315172573624,"chemoautotrophy","4000","500"
"132","CBB",632.675693467102,513.490809532891,751.860577401313,0.148787376694189,"chemoautotrophy","4000","500"
"133","DC/4HB",0,0,0,0,"chemoautotrophy","4000","500"
"134","WL",0,0,0,0,"chemoautotrophy","4000","500"
"135","rTCA",1.29133858267717,0,6.45669291338583,0.000303686204677181,"chemoautotrophy","4000","500"
"136","single copy",4252.21351114668,2892.66820691034,5592.46182472325,1,"single copy","4000","500"
"137","3HP Bicycle",181.4579905282,0,894.319073121965,0.0322395660596778,"chemoautotrophy","4000","50"
"138","3HP/4HB",0,0,0,0,"chemoautotrophy","4000","50"
"139","3HP/4HB or DC/4HB",95.5164466574107,0,286.549339972232,0.0169703675370455,"chemoautotrophy","4000","50"
"140","CBB",1631.06823708638,1344.30776304661,1917.82871112615,0.289791218476082,"chemoautotrophy","4000","50"
"141","DC/4HB",0,0,0,0,"chemoautotrophy","4000","50"
"142","WL",0,0,0,0,"chemoautotrophy","4000","50"
"143","rTCA",0,0,0,0,"chemoautotrophy","4000","50"
"144","single copy",5628.42533898589,4881.92866730733,6015.99959420334,1,"single copy","4000","50"
"145","3HP Bicycle",364.503348097871,0,1258.33515991832,0.0600120057618562,"chemoautotrophy","4500","1000"
"146","3HP/4HB",0,0,0,0,"chemoautotrophy","4500","1000"
"147","3HP/4HB or DC/4HB",40.8091915486057,0,122.427574645817,0.00671884483676685,"chemoautotrophy","4500","1000"
