scaffold,reconciled_taxonomy
OC1703_3000m_150m_sens_contig_2292734,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_150m_sens_contig_1024391,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_2867616,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_1078319,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_3462604,p__Planctomycetota
OC1703_3000m_3000m_sens_contig_1859440,p__Planctomycetota
OC1703_4500m_4000m_sens_contig_3155869,p__Planctomycetota
OC1703_4500m_3000m_sens_contig_2379566,p__Planctomycetota
OC1703_4500m_2000m_sens_contig_3268519,p__Planctomycetota
OC1703_3000m_2000m_sens_contig_4409777,p__Planctomycetota
OC1703_3000m_150m_sens_contig_1379528,p__Planctomycetota
OC1703_3000m_150m_sens_contig_4395961,p__Planctomycetota
OC1703_3000m_3000m_sens_contig_3179916,p__Planctomycetota
OC1703_4500m_4000m_sens_contig_1441557,p__Planctomycetota
OC1703_4500m_4000m_sens_contig_1989854,p__Planctomycetota
OC1703_4000m_2000m_sens_contig_2602526,p__Proteobacteria;unclassified
OC1703_4500m_1000m_sens_contig_1948261,p__Proteobacteria;unclassified
OC1703_4000m_1000m_sens_contig_3079755,p__Proteobacteria;unclassified
OC1703_4500m_2000m_sens_contig_4034241,p__Proteobacteria;unclassified
OC1703_4500m_4000m_sens_contig_4172142,p__Proteobacteria;unclassified
OC1703_3000m_2000m_sens_contig_4337163,p__Proteobacteria;unclassified
OC1703_3500m_2000m_sens_contig_1623954,p__Proteobacteria;unclassified
OC1703_4000m_3000m_sens_contig_1004529,p__Proteobacteria;unclassified
OC1703_4500m_3000m_sens_contig_3886236,p__Proteobacteria;unclassified
OC1703_3500m_3000m_sens_contig_2178022,p__Proteobacteria;unclassified
OC1703_3000m_3000m_sens_contig_3249647,p__Proteobacteria;unclassified
OC1703_3500m_1000m_sens_contig_468339,p__Proteobacteria;unclassified
OC1703_3000m_1000m_sens_contig_3554182,p__Proteobacteria;unclassified
